id_prose,sin_patente,sin_fecha_siniestro,ase_abreviatura,obs_ult_estado,sin_siniestro,sin_fecha_denuncia,lug_desc,pro_descripcion_provincia,reg_descripcion_comuna,sin_hora_siniestro,esp_desc,sin_check_registro_civil,sin_concurrencia,sin_ind_caso_raro,tve_desc,mar_desc,sin_ano_vechiculo,cve_desc,sin_valor_comercial_veh,sin_dispositivos_vehiculo,reg_descripcion_region_asegurado,reg_descripcion_comuna_asegurado,reg_descripcion_region_conductor,sin_comisaria,sin_fecha_parte,sin_relato,sin_activo,EncontradoOtraVia
75851.0,DGLP26  ,17-11-2015 0:00,LIBERTY,,1405392.0,19-11-2015 0:00,Otra,Otra,Otra,8:00:00 AM,SEBV BUSCA,S,N,N,AUTOMOVIL,CHEVROLET,2011.0,Blanco,7266584.0,N,Región del Biobío,Concepción,Otra,Subcomisaría San Pedro,01-01-1900 0:00,EL VEHÍCULO LO HABÍA FACILITADO Y EL DÍA MARTES EN LA MAANA SE PERCATARON QUE EL VEHÍCULO SE LO HABÍAN ROBADO AL DÍA SIGUIENTE MIÉRCOLES FUI HACER DENUNCIAR CARABINEROS LE INDICA QUE HABÍAN ENCONTRADO EL VEHÍCULO CHOCADO EN LA VÍA PÚBLICA Y QUE DEBE IR A RETIRAR A LA TENENCIA DE SAN PEDRO DE LA PAZ EN CONCEPCIÓNCARABINEROS LE INDICA QUE NO SE PREOCUPARA POR HACER DENUNCIA YA QUE LA TENENCIA DE SAN PEDRO HABÍA CURSADO UN PARTE A ESTE  ASEGURADO SOLO CUENTA CON LA LLAVE DE REEMPLAZO C,S,SI
79450.0,GHXW96  ,15-04-2016 0:00,LIBERTY,,1432788.0,19-04-2016 0:00,Otra,Otra,Otra,5:30:00 AM,SEBV BUSCA,S,N,N,CAMIONETA,MITSUBISHI,2014.0,Gris,15834980.0,N,Región Metropolitana de Santiago,Pudahuel,Otra,27a Comisaría Aeropuerto Internacional Prefectura ,15-04-2016 0:00,EL DÍA  15 DE ABRIL SE DEJA VEHÍCULO EN DIRECCIÓN ANTES MENCIONADA VEHÍCULO NO SE ENCONTRABA SE DA AVISO A CARABINEROSCUENTA CON TODAS LAS LLAVES DEL VEHÍCULO  SI SI EL VEHÍCULO FUE ROBADO DESDE UN ESTACIONAMIENTO PAGADOCUENTA CON ALGÚN COMPROBANTE  NO EL VEHÍCULO CUENTA CON ALGÚN MECANISMO DE SEGURIDAD  NO,S,NO
54231.0,FZHZ87  ,05-10-2013 0:00,LIBERTY,,1247605.0,08-10-2013 0:00,Otra,Otra,Otra,1:30:00 AM,SEBV BUSCA,S,N,N,AUTOMOVIL,SUBARU,2014.0,Plateado,10402278.0,N,Región Metropolitana de Santiago,Huechuraba,Otra,47a Comisaría Los Domínicos Prefectura Santiago Or,05-10-2013 0:00,Estaba en la casa de mi polola deje estacionado vuelvo al vehículo como a las 0130 cuando estoy arriba del vehiculo siento que golpean el vidrio y me indica un hombre que me baje me amenazaron y golpearon con la pistola y se robaron el vehículo Asegurado indica que llamo el mismo sábado a las 2010 para realizar denuncio del robo de su vehículo la llamada la recibieron de asistencia Me indicaron que me volverían a llamarLunes 07 de octubre a las 0030 me avisan que encontraron el veh,S,SI
79396.0,HVDP13  ,03-03-2016 0:00,LIBERTY,,1430252.0,04-03-2016 0:00,Otra,Otra,Otra,12:40:00 PM,SEBV BUSCA,S,N,N,CAMIONETA,KIA MOTORS,2016.0,Blanco,7719201.0,N,Región Metropolitana de Santiago,Ñuñoa,Otra,44a Comisaría Lo Prado Prefectura Santiago Occiden,03-03-2016 0:00,Deje estacionado el vehículo en la dirección indicada al regresar en el transcurso de 10 minutos aprox El vehículo ya no estaba vehiculo se encontraba con  traba volanteAsegurado indica que el vehículo estaba con el volante trabado cuenta con ambas llaves del vehículo y llave de la traba volanteDatos parte policial44° comiseria de lo pradoN° 724Fecha 03032016hora 1530Alcoholemia NO,S,NO
46014.0,WK7220  ,03-09-2012 0:00,LIBERTY,,1176541.0,03-09-2012 0:00,Otra,Otra,Otra,8:30:00 AM,SEBV BUSCA,S,N,N,CAMIONES,FORD,2007.0,Blanco,6767844.0,N,Región del Maule,Parral,Otra,Tenencia Longaví,03-09-2012 0:00,DEJE EL VEH  ESTACIONADO EN UN PREVIO Y HOY EN LA MAÑANA ME PERCATE QUE EL CAMION NO SE ENCONTRABA,S,NO
45658.0,YC9031  ,20-09-2012 0:00,LIBERTY,,1179105.0,20-09-2012 0:00,Otra,Otra,Otra,1:00:00 AM,SEBV BUSCA,S,N,N,AUTOMOVIL,TOYOTA,2005.0,Verde,5894370.0,N,Región Metropolitana de Santiago,Las Condes,Otra,19a. Comisaría Providencia Prefectura Santiago Ori,20-09-2012 0:00,DEJE EL VEH  ESTACIONADO EN  MI CASA Y HOY EN LA MAÑANA ME PERCATO QUE EL VEH  NO ESTABA,S,SI
51451.0,FHRF25  ,26-05-2013 0:00,BCI,,5722654.0,27-05-2013 0:00,Domicilio,Otra,Otra,12:00:00 PM,SEBV BUSCA,S,N,N,AUTOMOVIL,CITROEN,2013.0,Rojo,13738236.0,N,Otra,Otra,Otra,TENENCIA PUCHUNCAVY,26-05-2013 0:00,SINIESTRO DENUNCIADO VIA WEB                                                    HECHOS ANTES: DEJANDO ESTACIONADO MI AUTOMOVIL EN FRENTE A PUB CAFE UBICADO EN  CARRETERA F30 E S/N  EL RUNGUE PUCHUNCAVI                                       HECHOS: SIENDO LAS 01 AM DEL DIA DOMINGO 26  CONCURRO AL PUB CAFE DE CARRETERA  F30 E S/N  EL RUNGUE PUCHUNCAVI  DEJANDO ESTACIONADO FRENTE A DICHO LOCAL MI AU TOMOVIL CITROEN MODELO DS3 1.6 COLOR ROJO NEGRO  ANO 2013  CONSECUTIVAMENTE ME  RETIRO APROXIMADAMEN,S,SI
64900.0,FCXW32  ,07-12-2014 0:00,BCI,,5959349.0,08-12-2014 0:00,Domicilio,Otra,Otra,8:30:00 PM,SEBV BUSCA,S,N,N,STATION WAGON,KIA MOTORS,2013.0,Negro,72133494.0,N,Otra,Otra,Otra,8A. COMISARYA COLINA,07-12-2014 0:00,SINIESTRO DENUNCIADO VIA WEB POR UN USUARIO EXTERNO                             HECHOS ANTES: IBA CONDUCIENDO                                                   HECHOS: ESTABA PARADA EN DISCO PARE Y ME ATACARON CON REVOLVER Y FORCEJEO HASTA QUITARME EL AUTO.                                                               CUANDO SE PERCATO: A LAS 20.30                                                  UTLIMO TRAYECTO: CALLE MONSENOR FRANCISCO CORREA,S,NO
59619.0,FRDP63  ,15-03-2014 0:00,BCI,,5871130.0,12-05-2014 0:00,Calle,Otra,Otra,5:00:00 PM,SEBV BUSCA,S,N,N,CAMIONETA,MITSUBISHI,2013.0,Rojo,123989372.0,N,Otra,Otra,Otra,MAIPU,15-03-2014 0:00,VEHICULO ESTACIONADO EN DEPENDENCIAS DE RELSA  FUE SUSTRAIDO SIN SABER QUIEN    SACO EL VEHYCULO.                                                               ROL CAUSA 1400252960-3                                                          DANOS  ROBO VEHICULO,S,NO
42167.0,YD7338  ,27-03-2012 0:00,AIG CHILE,,566877.0,28-03-2012 0:00,Calle,Santiago,Maipú,5:50:00 PM,SEBV BUSCA,S,N,N,TODO TERRENO,SUZUKI,2005.0,Beige,5500000.0,S,Región Metropolitana de Santiago,Maipú,Región Metropolitana de Santiago,25° Com. Maipú,01-01-1900 0:00,Vehículo estacionado fue robado,S,NO
