id,id_tipo_propiedad,descripcion,habitaciones,banos,dimension_propiedad,dimension_terreno,direccion,direccion_2,id_comuna,id_provincia,id_region,id_antiguedad,year,gastos_comunes,piso,estacionamientos,amoblado,cantidad_caracteristicas,precio_en_uf
4987109,2,"Estupendo departamento, Orientación Nor-oriente, piso 7, amplio hall de acceso, living y comedor en L con preciosa vista al Manquehue, tres dormitorios, dos baños, pieza principal en suite con walk in closet, amplia cocina equipada con encimera y horno eléctrico, muebles en granito, piso porcelanato y loggia, pieza de servicio de muy buen tamaño con baño completo, podría convertirse en un cuarto dormitorio o en sala de estar, enorme loggia, baño de visitas. Incluye 2 estacionamientos y 1 bodega, calefacción central. El edificio cuenta con piscina, gimnasio, salón de eventos y muchos estacionamientos de visitas.",3,2,130.0,140.0,AMERICO VESPUCIO FRANCISCO DE AGUIRRE,Vitacura                                                                                                                                                                                                                                                       ,306,43,13,2,0.0,180000.0,,2.0,f,,11100.0
5632624,3,"ID 27944 EXCELENTE PROPIEDAD COMERCIAL, corresponde a inmueble residencial con uso comercial, de 207 mts.2 construídos y 350 mts.2 de terreno, distribuidos en dos construcciones y patio, unidas por pasillo mas una bodega. La primera construcción tiene energía trifásica, una planta libre de 24 mts.2 y 2 baños, sala de venta y sala de máquinas, ambas con aire acondicionado. La segunda construcción es la antigua casa adaptada, esta cuenta con cocina mas un comedor chico, 2 amplias salas y 1 baño completo, mas una sala amplia que corresponde a tres habitaciones unidas, cuenta con 7 estacionamientos (3 interior y 4 exterior), tiene patio de luz, patio interior y patio trasero, con posibilidad de contrucción de un segundo piso, año de la propiedad 1973. Recomiendo visitarContactar a Patricia Lillo mail - (Para consultas puedes escribirnos en el formulario de contacto).",7,3,207.0,350.0,LOS OLMOS,Macul                                                                                                                                                                                                                                                          ,292,43,13,2,0.0,0.0,,0.0,f,,8300.0
4061055,2,"DISPONIBLE!
Se vende amplio y luminoso departamento en Ñuñoa, vista despejada, buena conectividad, cercano a metro Príncipe de Gales, colegios, supermercados. Cuenta preciosas áreas verdes, ideal para jugar con niños

Detalle:
* Hall de entrada
* Living comedor ( se ampliaron las terrazas)
* Piso de todo el departamento cerámica  con imitación a parquet 
*3 dormitorios ( amplios closet)
*2 baños
*Cocina cerrada 
*Piso 10, orientación nor-poniente
*Contribuciones $55.000 aprox 
* Gastos comunes 95.000 
*1 bodega amplia de 1:30 por 2:30 aprox
*1 estacionamiento techado ( externo)
*Cámaras de seguridad y conserjería 24 horas.

Interesados envíe mail o ingrese a contáctenos de nuestra web para coordinación de visita
* Nombre
* Celular
* Rut 
* ¿A través de qué medio conoció nuestra empresa? (Portales Web, RRSS, mailing, otro)

",3,2,90.0,0.0,SECTOR METRO PRÍNCIPE DE GALES,La Reina                                                                                                                                                                                                                                                       ,287,43,13,2,0.0,95000.0,,1.0,f,1.0,5006.13900972637
3932577,2,"Excelente departamento con inmejorable ubicación, 2 dormitorios amplios en suite con walk in closet, 3 baños, living comedor con salida a la terraza, orientación norte,  piso 11 con vista despejada , cocina americana full eléctric, estacionamiento y bodega. El edificio dispone de piscina, sala de eventos, quincho, juegos para niños, pérgola y terrazas. Barrio residencial muy tranquilo excelente conectividad, cercano a locomoción y próxima linea de metro, supermercados, colegios , farmacia y restaurantes.    NO DEJE DE VISITAR!!!",2,3,65.0,0.0,Manuel Montt/Simón Bolivar,ÑUÑOA                                                                                                                                                                                                                                                          ,294,43,13,2,0.0,0.0,,1.0,f,,4822.12038131282
5439664,2,"Departamento muy bien ubicado y con buena vista al oriente/norte y sur, sector ex rotonda Perez Zujovic, ideal remodelar, 60 mts de terrazas. Edificio antiguo pero que mantiene muy bien sus areas comunes y jardines. Consta con hall de distribucion, amplio living comedor con terrazas ampliadas, piso parquet, 3 dormitorios ampliados con closet y piso madera, 2 baños principal en suite, pieza y baño de servicios, cocina amoblada, logia. Cuenta con calefaccion por losa radiante, estacionamientos de visitas, conserjes 24/7, incluye 1 estacionamiento y bodega, no deje de consultar y visitar!",3,2,140.0,200.0,Ex rotonda Perez Zujovic/Lateral Kennedy,Vitacura                                                                                                                                                                                                                                                       ,306,43,13,2,0.0,275000.0,,0.0,f,,10490.0
4240437,1,"Cómoda casa de dos pisos pareada por ambos lados, tres dormitorios, un baño, living, comedor, cocina, entrada de vehículo, patio interior. Pasaje tranquilo, cerrado con portón con llave solo propietarios. Locomoción, comercio, colegio y Metro Las Torres caminando.",2,1,55.0,70.0,"Líbano, Macul, Región Metropolitana, Chile",<null>,292,43,13,2,,0.0,2.0,1.0,f,24.0,2024.92647676047
4079764,2,<null>,2,2,83.3,91.0,Camino Del Paisaje 6552,<null>,284,43,13,1,,,,,<null>,0.0,4800.0
5437557,2,"Departamento Nuevo80 mts2Piso 9 (último piso)2 dormitorios, principal en suite,en segundo dormitorio cabe cama de 2 plazas1 estacionamiento, 1 bodega ( juntos en -2)Vista despejada a Av Las CondesEl edificio tiene 2 piscinas, Gimnasio, Áreas Verdes; Cámaras de Seguridad, Accesos ControladosGastos Comunes $75000Mas información y Coordinar visitas conMaria de la Luz Montero - (Para consultas puedes escribirnos en el formulario de contacto).",2,2,80.0,80.0,San José de la Sierra,Las Condes                                                                                                                                                                                                                                                     ,288,43,13,1,0.0,75000.0,,1.0,f,,6750.0
4360853,2,"Espectacular Departamento en excelente condiciones.<br> 
Excelente ubicación y orientación.<br> 
Ampio Living comedor, con salida al cómoda terraza y jardín formado.<br> 
Cocina completa, cuenta con servicio.<br> 
Area de dormitorios, con amplios closet, dos dormitorios y dos baño.<br> 
Gran Dormitorio principal en Suite con salida al jardín.<br> 
Sector completamente consolidado y muy seguro.<br> 
Con excelente conectividad, cercano a colegios, comercios, supermercados.<br>",3,3,142.0,289.0,la dehesa central,lo barnechea                                                                                                                                                                                                                                                   ,289,43,13,2,0.0,0.0,,0.0,f,,13990.0
5590174,1,"EN EXCLUSIVIDAD Casa de dos pisos, arquitectura reconocida de la epoca, en increíble ubicación a pasos del Parque Metropolitano.En el piso superior cuenta con un hall de acceso, donde se distribuye a un amplio living con escritorio o salita independiente ambos con salida a una terraza.Comedor independiente que conecta con la cocina, patio de servicio, lavanderia subterránea y dormitorio de servicio con baño en el exterior.Dormitorio principal en suite con baño, un segundo dormitorio con baño.En piso inferior o parte inferior es un segundo departamento que se entra por el exterior de la casa, cocina, recibos, dormitorio, un baño y una bodega.Cuenta con jardín delantero y trasero, estacionamiento para dos autos.Contribuciones $684.688.- cada cuota.Para recibir mas información o coordinar visita con Fernando Regonesi Celular o WhatsApp Sociales:FaceBook Goycoolea PropiedadesInstragram @goycooleapropiedades - (Para consultas puedes escribirnos en el formulario de contacto).",3,3,273.0,826.0,Pedro de Valdivia / Monseñor Carlos Casanueva,Providencia                                                                                                                                                                                                                                                    ,297,43,13,2,0.0,0.0,,0.0,f,,23000.0
